"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"AL",0,0,1-01-01,0,0,"Randolph County, Alabama",0,0,NA,NA,"No voting data yet","01111","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Russell County, Alabama",0,0,NA,NA,"No voting data yet","01113","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"St. Clair County, Alabama",0,0,NA,NA,"No voting data yet","01115","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Shelby County, Alabama",0,0,NA,NA,"No voting data yet","01117","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Sumter County, Alabama",0,0,NA,NA,"No voting data yet","01119","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Talladega County, Alabama",0,0,NA,NA,"No voting data yet","01121","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Tallapoosa County, Alabama",0,0,NA,NA,"No voting data yet","01123","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Tuscaloosa County, Alabama",0,0,NA,NA,"No voting data yet","01125","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Walker County, Alabama",0,0,NA,NA,"No voting data yet","01127","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Washington County, Alabama",0,0,NA,NA,"No voting data yet","01129","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Wilcox County, Alabama",0,0,NA,NA,"No voting data yet","01131","NA","lessThan20pctIn",NA,NA,NA,NA
"AL",0,0,1-01-01,0,0,"Winston County, Alabama",0,0,NA,NA,"No voting data yet","01133","NA","lessThan20pctIn",NA,NA,NA,NA
"AK",0,0,1-01-01,0,0,"ED 1, Alaska",0,0,NA,NA,"No voting data yet","02001","NA","lessThan20pctIn",NA,NA,NA,"ED 1, Alaska"
"AK",0,0,1-01-01,0,0,"ED 2, Alaska",0,0,NA,NA,"No voting data yet","02002","NA","lessThan20pctIn",NA,NA,NA,"ED 2, Alaska"
"AK",0,0,1-01-01,0,0,"ED 3, Alaska",0,0,NA,NA,"No voting data yet","02003","NA","lessThan20pctIn",NA,NA,NA,"ED 3, Alaska"
"AK",0,0,1-01-01,0,0,"ED 4, Alaska",0,0,NA,NA,"No voting data yet","02004","NA","lessThan20pctIn",NA,NA,NA,"ED 4, Alaska"
"AK",0,0,1-01-01,0,0,"ED 5, Alaska",0,0,NA,NA,"No voting data yet","02005","NA","lessThan20pctIn",NA,NA,NA,"ED 5, Alaska"
"AK",0,0,1-01-01,0,0,"ED 6, Alaska",0,0,NA,NA,"No voting data yet","02006","NA","lessThan20pctIn",NA,NA,NA,"ED 6, Alaska"
"AK",0,0,1-01-01,0,0,"ED 7, Alaska",0,0,NA,NA,"No voting data yet","02007","NA","lessThan20pctIn",NA,NA,NA,"ED 7, Alaska"
"AK",0,0,1-01-01,0,0,"ED 8, Alaska",0,0,NA,NA,"No voting data yet","02008","NA","lessThan20pctIn",NA,NA,NA,"ED 8, Alaska"
"AK",0,0,1-01-01,0,0,"ED 9, Alaska",0,0,NA,NA,"No voting data yet","02009","NA","lessThan20pctIn",NA,NA,NA,"ED 9, Alaska"
"AK",0,0,1-01-01,0,0,"ED 10, Alaska",0,0,NA,NA,"No voting data yet","02010","NA","lessThan20pctIn",NA,NA,NA,"ED 10, Alaska"
"AK",0,0,1-01-01,0,0,"ED 11, Alaska",0,0,NA,NA,"No voting data yet","02011","NA","lessThan20pctIn",NA,NA,NA,"ED 11, Alaska"
"AK",0,0,1-01-01,0,0,"ED 12, Alaska",0,0,NA,NA,"No voting data yet","02012","NA","lessThan20pctIn",NA,NA,NA,"ED 12, Alaska"
"AK",0,0,1-01-01,0,0,"ED 13, Alaska",0,0,NA,NA,"No voting data yet","02013","NA","lessThan20pctIn",NA,NA,NA,"ED 13, Alaska"
