"name","fips","precinctsOf","precinctsIn","pctPrecIn","pctExpVote","totalVote","ts","vote_Trump","vote_Biden","vote_Jorgensen","vote_Write-ins","pct_Trump","pct_Biden","pct_Jorgensen","pct_Write-ins","pct_diff","state","vote_Ventura","vote_Blankenship","vote_Pierce","vote_De La Fuente","pct_Ventura","pct_Blankenship","pct_Pierce","pct_De La Fuente","vote_La Riva","vote_Collins","vote_West","vote_Hawkins","vote_Gammon","vote_Carroll","vote_Myers","pct_La Riva","pct_Collins","pct_West","pct_Hawkins","pct_Gammon","pct_Carroll","pct_Myers"
"ED 2","2902",4,4,100,100,6161,"2020-12-01T14:01:35Z",3674,2104,287,25,59.6,34.2,4.7,0.4,25.4,"AK",30,18,14,9,0.5,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 3","2903",5,5,100,100,8421,"2021-01-11T14:41:49Z",6076,1903,316,36,72.2,22.6,3.8,0.4,49.6,"AK",42,27,13,8,0.5,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 4","2904",7,7,100,100,10587,"2020-12-01T17:28:55Z",4690,5345,323,76,44.3,50.5,3.1,0.7,-6.2,"AK",93,27,29,4,0.9,0.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 5","2905",9,9,100,100,8706,"2020-12-01T17:31:02Z",4077,4204,259,52,46.8,48.3,3,0.6,-1.5,"AK",68,21,17,8,0.8,0.2,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 6","2906",33,33,100,100,9518,"2020-12-01T17:33:59Z",5770,3272,266,58,60.6,34.4,2.8,0.6,26.2,"AK",83,33,31,5,0.9,0.3,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 7","2907",7,7,100,100,9664,"2020-12-02T14:53:36Z",7027,2215,272,42,72.7,22.9,2.8,0.4,49.8,"AK",54,36,13,5,0.6,0.4,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 8","2908",6,6,100,100,9957,"2020-12-02T14:55:48Z",7618,1953,241,45,76.5,19.6,2.4,0.5,56.9,"AK",48,28,18,6,0.5,0.3,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 9","2909",11,11,100,100,11047,"2020-12-02T14:59:20Z",7787,2769,301,54,70.5,25.1,2.7,0.5,45.4,"AK",77,39,16,4,0.7,0.4,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 10","2910",11,11,100,100,11256,"2020-12-02T15:00:57Z",8081,2727,286,51,71.8,24.2,2.5,0.5,47.6,"AK",64,22,19,6,0.6,0.2,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 11","2911",9,9,100,100,10686,"2021-01-26T16:12:09Z",7096,3130,269,58,66.4,29.3,2.5,0.5,37.1,"AK",88,22,17,6,0.8,0.2,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ED 12","2912",7,7,100,100,11280,"2021-01-11T15:01:20Z",7893,2957,288,42,70,26.2,2.6,0.4,43.8,"AK",54,28,15,3,0.5,0.2,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
